"department","region","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"Operations","region_19","Bachelor","m","sourcing",1,43,"5",3,0,61,"No"
"HR","region_5","Bachelor","m","sourcing",1,33,"3",8,0,52,"No"
"Sales & Marketing","region_23","Bachelor","m","sourcing",1,37,"1",2,0,49,"No"
"Finance","region_16","Bachelor","m","other",2,32,"1",6,0,58,"No"
"Sales & Marketing","region_19","Bachelor","m","other",1,34,"5",7,0,51,"No"
"Technology","region_16","Bachelor","m","other",1,28,"1",7,0,82,"Yes"
"Sales & Marketing","region_7","Bachelor","m","other",1,45,"5",2,0,50,"No"
"Sales & Marketing","region_12","Bachelor","m","other",1,27,"No_Rating",1,0,52,"No"
"Sales & Marketing","region_16","Bachelor","m","other",1,35,"3",10,0,51,"No"
"Operations","region_2","Bachelor","m","sourcing",2,48,"5",19,0,57,"No"
"Technology","region_21","Bachelor","f","other",1,26,"1",4,0,81,"No"
"Sales & Marketing","region_12","Bachelor","m","other",1,24,"No_Rating",1,0,47,"No"
"Technology","region_26","Master_and_above","m","other",1,38,"3",8,0,80,"Yes"
"Operations","region_2","Bachelor","f","other",1,47,"4",13,0,62,"No"
"Technology","region_2","Master_and_above","m","sourcing",1,39,"4",4,0,80,"No"
"HR","region_22","Bachelor","m","sourcing",1,26,"No_Rating",1,0,51,"No"
"Sales & Marketing","region_21","No_Education","m","sourcing",1,30,"2",5,0,47,"No"
"Sales & Marketing","region_6","Bachelor","m","other",1,33,"1",9,0,47,"No"
"Operations","region_22","Bachelor","f","sourcing",2,32,"5",5,0,57,"No"
"Technology","region_22","Bachelor","f","other",1,34,"2",2,0,77,"No"
"Sales & Marketing","region_13","No_Education","m","other",1,22,"No_Rating",1,0,50,"No"
"Technology","region_2","Master_and_above","f","sourcing",1,36,"4",2,0,81,"No"
"Operations","region_2","Master_and_above","m","referred",1,34,"5",4,0,61,"No"
"Operations","region_26","Bachelor","m","sourcing",1,29,"3",2,0,54,"No"
"Procurement","region_27","Bachelor","m","other",1,30,"3",6,0,85,"Yes"
"Operations","region_30","Bachelor","f","other",1,28,"3",1,0,62,"No"
"Procurement","region_26","Bachelor","m","sourcing",4,25,"No_Rating",1,0,67,"No"
"Technology","region_22","Bachelor","m","other",1,27,"2",2,0,80,"No"
"HR","region_2","Below_Secondary","m","sourcing",1,20,"No_Rating",1,0,44,"No"
"Finance","region_26","Bachelor","m","sourcing",1,27,"3",2,0,60,"No"
"Sales & Marketing","region_31","No_Education","m","sourcing",1,27,"1",6,0,45,"No"
"Sales & Marketing","region_28","Bachelor","m","sourcing",1,45,"3",11,0,55,"No"
"Procurement","region_2","Master_and_above","m","other",2,37,"5",5,0,73,"No"
"HR","region_17","Bachelor","f","sourcing",1,33,"3",6,0,51,"No"
"Legal","region_3","Bachelor","m","other",1,29,"1",3,0,63,"No"
"Finance","region_2","Bachelor","m","other",1,28,"1",2,0,61,"No"
"Operations","region_31","Master_and_above","f","other",1,33,"5",6,0,62,"No"
"Operations","region_31","Bachelor","m","other",1,27,"4",4,0,57,"No"
"Technology","region_5","Bachelor","m","other",1,30,"4",2,0,82,"No"
"Operations","region_22","Bachelor","m","sourcing",1,43,"3",5,0,64,"No"
"Procurement","region_16","Bachelor","f","sourcing",1,32,"3",5,0,65,"No"
"Sales & Marketing","region_15","Master_and_above","m","other",1,28,"1",4,0,50,"No"
"Operations","region_17","Bachelor","m","other",1,33,"2",8,0,56,"No"
"Sales & Marketing","region_7","Master_and_above","f","sourcing",1,49,"4",20,0,55,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,42,"3",5,0,51,"Yes"
"Operations","region_16","Bachelor","m","other",1,40,"5",13,0,74,"Yes"
"Operations","region_32","Bachelor","f","other",1,34,"5",7,0,62,"No"
"Operations","region_22","Bachelor","f","sourcing",2,40,"5",3,0,59,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,37,"2",7,0,45,"No"
"Analytics","region_13","Bachelor","m","sourcing",2,30,"5",3,0,87,"No"
"Analytics","region_31","Bachelor","m","other",2,30,"4",2,0,85,"No"
"Operations","region_22","Bachelor","f","sourcing",1,43,"4",2,1,60,"No"
"Sales & Marketing","region_31","No_Education","m","other",1,27,"3",3,0,47,"No"
"Procurement","region_27","Master_and_above","m","other",3,40,"3",7,0,71,"No"
"Sales & Marketing","region_9","No_Education","m","other",1,27,"3",4,0,52,"No"
"Technology","region_2","Bachelor","f","other",1,42,"3",14,0,80,"No"
"Analytics","region_2","Master_and_above","m","sourcing",1,41,"4",13,0,80,"No"
"Sales & Marketing","region_31","Bachelor","m","other",1,32,"1",4,0,46,"No"
"Operations","region_15","Bachelor","f","other",1,49,"5",15,1,65,"No"
"Sales & Marketing","region_13","Master_and_above","m","sourcing",1,38,"1",6,0,50,"No"
"HR","region_2","Master_and_above","m","other",1,37,"2",12,0,48,"No"
"Technology","region_13","Bachelor","m","other",1,29,"1",5,0,77,"No"
"Sales & Marketing","region_22","Bachelor","m","sourcing",4,30,"No_Rating",1,0,49,"No"
"Procurement","region_22","Bachelor","m","sourcing",2,28,"1",4,0,64,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",2,37,"1",11,0,52,"No"
"Sales & Marketing","region_9","Bachelor","f","other",1,29,"2",7,0,46,"No"
"Operations","region_23","Bachelor","m","other",1,37,"3",9,0,62,"No"
"Analytics","region_31","Bachelor","m","other",1,33,"2",5,0,81,"No"
"Sales & Marketing","region_2","Master_and_above","f","other",1,52,"3",22,0,49,"No"
"Sales & Marketing","region_19","Bachelor","m","other",1,47,"1",15,0,53,"No"
"Operations","region_13","Bachelor","m","other",1,53,"3",17,0,61,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,59,"5",19,0,52,"No"
"Operations","region_2","Master_and_above","m","sourcing",1,56,"5",14,0,61,"No"
"R&D","region_4","Master_and_above","m","sourcing",1,37,"3",13,0,84,"No"
"Operations","region_11","Master_and_above","m","other",1,46,"3",7,0,65,"No"
"Analytics","region_2","Bachelor","m","sourcing",1,34,"5",3,0,86,"No"
"Technology","region_17","Master_and_above","f","other",1,39,"3",7,0,77,"No"
"Analytics","region_26","Bachelor","m","sourcing",1,26,"3",3,0,84,"No"
"Sales & Marketing","region_29","Master_and_above","m","other",2,32,"1",4,0,49,"No"
"Technology","region_26","Bachelor","m","other",3,27,"No_Rating",1,0,79,"No"
"Technology","region_14","Bachelor","f","other",1,31,"1",5,0,84,"No"
"Legal","region_22","Master_and_above","m","other",1,44,"2",3,0,62,"No"
"Sales & Marketing","region_2","Master_and_above","m","sourcing",1,58,"2",16,0,51,"No"
"Operations","region_4","Master_and_above","m","other",1,48,"5",7,0,59,"No"
"Operations","region_15","Bachelor","f","other",1,45,"5",16,0,63,"No"
"Operations","region_2","Bachelor","f","other",2,38,"3",3,0,57,"No"
"Sales & Marketing","region_4","Master_and_above","m","sourcing",1,56,"4",4,1,45,"Yes"
"Sales & Marketing","region_23","Bachelor","f","other",1,28,"No_Rating",1,0,49,"No"
"Sales & Marketing","region_16","Bachelor","m","other",1,41,"3",7,0,47,"No"
"Sales & Marketing","region_27","Bachelor","m","sourcing",1,38,"4",10,0,49,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",1,38,"1",8,0,45,"No"
"Procurement","region_2","Bachelor","f","sourcing",1,31,"4",6,0,66,"No"
"Procurement","region_4","Master_and_above","f","other",1,34,"1",8,0,67,"No"
"Analytics","region_22","Master_and_above","m","sourcing",2,39,"3",5,0,90,"No"
"Legal","region_22","Bachelor","m","referred",1,29,"No_Rating",1,0,58,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,28,"5",4,0,49,"Yes"
"Sales & Marketing","region_16","Master_and_above","m","sourcing",1,33,"4",3,0,51,"No"
"Operations","region_11","Master_and_above","m","sourcing",1,35,"3",3,0,58,"No"
"Procurement","region_2","Bachelor","f","sourcing",1,42,"1",4,0,70,"No"
"Operations","region_4","Master_and_above","f","sourcing",2,37,"3",3,0,59,"No"
"Technology","region_31","Bachelor","m","other",1,48,"3",7,0,74,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,44,"3",12,0,51,"No"
"Sales & Marketing","region_2","Bachelor","m","other",2,41,"4",8,0,51,"No"
"Technology","region_16","Bachelor","f","sourcing",1,29,"2",2,0,78,"No"
"Operations","region_26","Bachelor","f","sourcing",1,37,"3",8,0,58,"No"
"Technology","region_28","Master_and_above","m","other",1,34,"3",4,0,81,"No"
"Sales & Marketing","region_20","Bachelor","m","sourcing",1,29,"4",3,0,49,"No"
"R&D","region_31","Bachelor","m","sourcing",1,33,"4",5,0,88,"No"
"Procurement","region_15","Master_and_above","m","other",1,43,"5",4,0,71,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,31,"4",4,0,53,"No"
"Operations","region_1","Bachelor","f","sourcing",1,30,"4",2,0,60,"No"
"Analytics","region_25","Master_and_above","m","other",2,37,"3",9,0,81,"No"
"Sales & Marketing","region_2","No_Education","m","sourcing",1,22,"No_Rating",1,0,50,"No"
"Technology","region_23","Master_and_above","m","sourcing",1,43,"3",6,0,78,"No"
"HR","region_15","Bachelor","m","sourcing",1,32,"4",6,0,53,"No"
"Operations","region_15","Master_and_above","m","sourcing",1,39,"4",7,0,63,"No"
"Operations","region_15","Bachelor","m","other",2,30,"3",5,0,55,"No"
"Technology","region_2","Bachelor","m","other",1,36,"1",3,0,77,"No"
"Analytics","region_2","Master_and_above","m","other",1,52,"5",3,0,89,"No"
"Operations","region_2","Master_and_above","m","other",1,54,"3",23,0,59,"Yes"
"Analytics","region_22","Bachelor","m","other",3,31,"3",7,0,87,"No"
"Analytics","region_12","Bachelor","m","other",1,26,"5",2,0,85,"No"
"Technology","region_7","Bachelor","m","sourcing",1,26,"5",2,0,80,"Yes"
"Procurement","region_17","Master_and_above","m","sourcing",1,37,"3",10,0,71,"No"
"Sales & Marketing","region_9","Master_and_above","m","sourcing",2,33,"1",4,0,50,"No"
"Operations","region_22","Bachelor","m","referred",1,25,"4",4,0,65,"No"
"Sales & Marketing","region_13","No_Education","m","sourcing",1,30,"5",4,0,55,"No"
"HR","region_32","Bachelor","m","other",1,36,"3",2,0,50,"No"
"Sales & Marketing","region_2","Master_and_above","f","sourcing",1,44,"5",13,0,48,"No"
"Operations","region_13","Bachelor","f","sourcing",1,33,"4",7,0,55,"No"
"Sales & Marketing","region_28","Bachelor","m","other",1,36,"4",7,0,51,"No"
"Legal","region_31","Bachelor","m","other",1,31,"4",6,0,58,"No"
"Analytics","region_32","Bachelor","m","other",1,31,"3",2,0,88,"No"
"Operations","region_11","Bachelor","m","other",1,39,"3",13,0,64,"No"
"HR","region_15","Bachelor","m","other",1,34,"3",4,0,52,"No"
"Analytics","region_21","Bachelor","m","sourcing",1,26,"No_Rating",1,0,83,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,25,"No_Rating",1,0,58,"No"
"Operations","region_29","Bachelor","m","other",2,32,"5",6,0,61,"No"
"Technology","region_2","Bachelor","m","other",1,39,"5",7,0,80,"No"
"Procurement","region_27","Bachelor","m","other",1,32,"1",4,0,68,"No"
"Procurement","region_11","Bachelor","f","sourcing",1,32,"1",5,0,71,"Yes"
"Sales & Marketing","region_2","Bachelor","f","other",2,34,"3",9,0,50,"No"
"HR","region_22","Bachelor","m","sourcing",1,30,"1",3,0,53,"No"
"Operations","region_22","Bachelor","m","other",2,45,"4",18,0,59,"No"
"Sales & Marketing","region_7","Bachelor","f","sourcing",1,38,"1",7,0,47,"No"
"HR","region_29","Bachelor","m","other",1,34,"5",3,0,46,"No"
"Technology","region_25","Master_and_above","m","other",2,36,"2",9,0,85,"No"
"Procurement","region_22","Bachelor","f","sourcing",1,30,"1",4,0,71,"No"
"Sales & Marketing","region_27","Bachelor","m","other",1,34,"5",8,0,48,"No"
"Technology","region_26","Bachelor","m","other",1,25,"No_Rating",1,0,78,"No"
"Operations","region_15","Bachelor","m","other",1,28,"5",5,0,62,"No"
"Analytics","region_9","Master_and_above","m","sourcing",1,29,"5",3,0,84,"No"
"R&D","region_8","Bachelor","m","sourcing",1,29,"5",3,0,84,"No"
"Operations","region_25","Bachelor","f","sourcing",1,27,"4",2,0,55,"No"
"Procurement","region_27","Bachelor","f","sourcing",1,29,"3",2,0,72,"No"
"Analytics","region_22","Bachelor","m","other",1,33,"5",2,0,83,"No"
"Operations","region_27","Bachelor","f","other",1,38,"4",9,0,58,"No"
"Sales & Marketing","region_15","Bachelor","m","other",1,30,"3",3,0,54,"No"
"Sales & Marketing","region_16","Bachelor","f","sourcing",1,37,"1",7,0,48,"No"
"Operations","region_12","Bachelor","f","other",2,30,"5",5,0,61,"No"
"Procurement","region_2","Master_and_above","m","other",5,34,"5",2,0,69,"No"
"Operations","region_2","Bachelor","f","sourcing",3,24,"5",2,0,58,"No"
"Technology","region_2","Bachelor","m","other",1,31,"3",5,0,82,"No"
"Technology","region_16","Bachelor","m","other",1,40,"3",2,0,82,"No"
"Operations","region_27","Bachelor","f","other",1,32,"5",7,0,60,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",2,34,"2",2,0,50,"No"
"R&D","region_2","Bachelor","m","sourcing",2,45,"5",3,0,85,"No"
"Sales & Marketing","region_11","Bachelor","m","other",1,35,"3",3,0,46,"No"
"HR","region_2","Below_Secondary","m","other",1,23,"No_Rating",1,0,49,"No"
"Operations","region_11","Bachelor","m","sourcing",1,32,"3",3,0,59,"No"
"Technology","region_13","Master_and_above","m","other",1,55,"1",3,0,79,"No"
"Technology","region_28","Master_and_above","f","other",2,36,"5",9,0,83,"No"
"Operations","region_27","Bachelor","m","other",1,27,"3",6,0,61,"No"
"Sales & Marketing","region_2","Bachelor","m","other",2,42,"3",11,0,49,"No"
"Legal","region_7","Bachelor","m","other",1,27,"No_Rating",1,0,56,"No"
"Sales & Marketing","region_7","Bachelor","f","other",1,31,"3",6,0,64,"Yes"
"Sales & Marketing","region_30","Bachelor","m","sourcing",1,29,"3",3,0,47,"No"
"Sales & Marketing","region_22","Bachelor","m","sourcing",1,31,"5",2,0,95,"Yes"
"Technology","region_16","Bachelor","f","sourcing",1,28,"5",2,0,83,"No"
"Operations","region_23","Bachelor","m","sourcing",1,29,"4",6,0,59,"No"
"Finance","region_2","Bachelor","m","other",1,26,"No_Rating",1,0,62,"No"
"Sales & Marketing","region_2","No_Education","m","other",3,38,"3",7,0,45,"No"
"Analytics","region_22","Bachelor","m","sourcing",1,28,"1",4,0,86,"Yes"
"Operations","region_4","Bachelor","m","other",1,38,"5",11,0,62,"Yes"
"Sales & Marketing","region_34","Bachelor","m","sourcing",3,28,"No_Rating",1,0,49,"No"
"Technology","region_27","Master_and_above","m","other",1,33,"3",5,0,78,"No"
"Analytics","region_24","Bachelor","m","other",1,28,"No_Rating",1,0,86,"No"
"Procurement","region_14","Master_and_above","f","sourcing",1,33,"3",9,0,69,"No"
"Legal","region_2","Master_and_above","m","other",1,50,"5",18,0,57,"No"
"Operations","region_22","Bachelor","m","sourcing",2,23,"No_Rating",1,0,57,"No"
"Operations","region_15","Bachelor","m","other",1,46,"4",20,0,55,"No"
"Technology","region_13","Bachelor","m","other",1,27,"4",5,0,79,"No"
"HR","region_2","Below_Secondary","f","referred",1,25,"No_Rating",1,0,51,"No"
"Technology","region_10","Bachelor","m","sourcing",1,25,"No_Rating",1,0,80,"No"
"Operations","region_15","Bachelor","f","other",1,40,"4",2,0,61,"No"
"Analytics","region_26","Bachelor","m","other",1,28,"1",3,0,81,"No"
"Operations","region_7","Bachelor","m","other",1,45,"3",17,0,61,"No"
"Procurement","region_23","Bachelor","f","sourcing",1,33,"5",6,0,69,"No"
"R&D","region_7","Bachelor","f","sourcing",1,32,"3",5,0,82,"No"
"Analytics","region_28","Master_and_above","m","sourcing",2,38,"4",3,0,83,"No"
"Sales & Marketing","region_13","Master_and_above","f","sourcing",1,43,"1",13,0,46,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,55,"1",3,0,59,"No"
"R&D","region_4","Master_and_above","m","other",1,42,"5",10,0,89,"No"
"Finance","region_15","Bachelor","m","other",1,33,"4",4,0,55,"No"
"Finance","region_32","Bachelor","f","other",1,30,"4",7,0,60,"No"
"Technology","region_2","Bachelor","f","other",1,59,"4",19,1,92,"Yes"
